GOST_Number;FullDesignation;ThreadSize;MaterialGroup;Coating;SteelGrade;ThreadDiameter;ThreadPitch
10605-94;Gajka M 52.02 GOST 10605-94;M 52;02;;;52.0;5.0
10605-94;Gajka M 52.02.019 GOST 10605-94;M 52;02;019;;52.0;5.0
10605-94;Gajka M 52.02.029 GOST 10605-94;M 52;02;029;;52.0;5.0
10605-94;Gajka M 52.02.019.01 GOST 10605-94;M 52;02;019.01;;52.0;5.0
10605-94;Gajka M 52.02.016 GOST 10605-94;M 52;02;016;;52.0;5.0
10605-94;Gajka M 52.02.019.06 GOST 10605-94;M 52;02;019.06;;52.0;5.0
10605-94;Gajka M 52.04 GOST 10605-94;M 52;04;;;52.0;5.0
10605-94;Gajka M 52.04.019 GOST 10605-94;M 52;04;019;;52.0;5.0
10605-94;Gajka M 52.04.029 GOST 10605-94;M 52;04;029;;52.0;5.0
10605-94;Gajka M 52.04.019.01 GOST 10605-94;M 52;04;019.01;;52.0;5.0
10605-94;Gajka M 52.04.016 GOST 10605-94;M 52;04;016;;52.0;5.0
10605-94;Gajka M 52.04.019.06 GOST 10605-94;M 52;04;019.06;;52.0;5.0
10605-94;Gajka M 52.05 GOST 10605-94;M 52;05;;;52.0;5.0
10605-94;Gajka M 52.05.019 GOST 10605-94;M 52;05;019;;52.0;5.0
10605-94;Gajka M 52.05.029 GOST 10605-94;M 52;05;029;;52.0;5.0
10605-94;Gajka M 52.05.019.01 GOST 10605-94;M 52;05;019.01;;52.0;5.0
10605-94;Gajka M 52.05.016 GOST 10605-94;M 52;05;016;;52.0;5.0
10605-94;Gajka M 52.05.019.06 GOST 10605-94;M 52;05;019.06;;52.0;5.0
10605-94;Gajka M 52.06 GOST 10605-94;M 52;06;;;52.0;5.0
10605-94;Gajka M 52.06.019 GOST 10605-94;M 52;06;019;;52.0;5.0
10605-94;Gajka M 52.06.029 GOST 10605-94;M 52;06;029;;52.0;5.0
10605-94;Gajka M 52.06.019.01 GOST 10605-94;M 52;06;019.01;;52.0;5.0
10605-94;Gajka M 52.06.016 GOST 10605-94;M 52;06;016;;52.0;5.0
10605-94;Gajka M 52.06.019.06 GOST 10605-94;M 52;06;019.06;;52.0;5.0
