GOST_Number;FullDesignation;ThreadSize;MaterialGroup;Coating;SteelGrade;ThreadDiameter;ThreadPitch
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M1.6-04;M1.6;04;;;1.6;0.35
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M1.6-05;M1.6;05;;;1.6;0.35
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M1.6-A2-035;M1.6;A2-035;;A2;1.6;0.35
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M1.6-A4-035;M1.6;A4-035;;A4;1.6;0.35
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M1.6-A2-025;M1.6;A2-025;;A2;1.6;0.35
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M1.6-A4-025;M1.6;A4-025;;A4;1.6;0.35
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2-04;M2;04;;;2.0;0.4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2-05;M2;05;;;2.0;0.4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2-A2-035;M2;A2-035;;A2;2.0;0.4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2-A4-035;M2;A4-035;;A4;2.0;0.4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2-A2-025;M2;A2-025;;A2;2.0;0.4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2-A4-025;M2;A4-025;;A4;2.0;0.4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2.5-04;M2.5;04;;;2.5;0.45
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2.5-05;M2.5;05;;;2.5;0.45
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2.5-A2-035;M2.5;A2-035;;A2;2.5;0.45
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2.5-A4-035;M2.5;A4-035;;A4;2.5;0.45
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2.5-A2-025;M2.5;A2-025;;A2;2.5;0.45
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M2.5-A4-025;M2.5;A4-025;;A4;2.5;0.45
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M3-04;M3;04;;;3.0;0.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M3-05;M3;05;;;3.0;0.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M3-A2-035;M3;A2-035;;A2;3.0;0.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M3-A4-035;M3;A4-035;;A4;3.0;0.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M3-A2-025;M3;A2-025;;A2;3.0;0.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M3-A4-025;M3;A4-025;;A4;3.0;0.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M4-04;M4;04;;;4.0;0.7
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M4-05;M4;05;;;4.0;0.7
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M4-A2-035;M4;A2-035;;A2;4.0;0.7
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M4-A4-035;M4;A4-035;;A4;4.0;0.7
